column_name,data_type,nullable,default_value,profile,status,used_in_schema,used_in_frontend,notes
id,INTEGER,False,,meta,pending_validation,unknown,unknown,
name,VARCHAR,True,default,meta,pending_validation,unknown,unknown,
stt_provider,VARCHAR,True,azure,global,pending_validation,unknown,unknown,
stt_language,VARCHAR,True,es-MX,browser,pending_validation,unknown,unknown,
llm_provider,VARCHAR,True,groq,global,pending_validation,unknown,unknown,
llm_model,VARCHAR,True,llama-3.3-70b-versatile,browser,pending_validation,unknown,unknown,
extraction_model,VARCHAR,True,llama-3.1-8b-instant,global,pending_validation,unknown,unknown,
interruption_threshold,INTEGER,True,5,browser,pending_validation,unknown,unknown,
interruption_threshold_phone,INTEGER,True,2,phone,pending_validation,unknown,unknown,
tts_provider,VARCHAR,True,azure,global,pending_validation,unknown,unknown,
stt_model,VARCHAR,True,nova-2,browser,pending_validation,unknown,unknown,
stt_keywords,JSON,True,,browser,pending_validation,unknown,unknown,
stt_silence_timeout,INTEGER,True,500,browser,pending_validation,unknown,unknown,
stt_utterance_end_strategy,VARCHAR,True,default,browser,pending_validation,unknown,unknown,
stt_punctuation,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
stt_profanity_filter,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
stt_smart_formatting,BOOLEAN,True,True,browser,pending_validation,unknown,unknown,
stt_diarization,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
stt_multilingual,BOOLEAN,True,False,browser,pending_validation,unknown,unknown,
system_prompt,TEXT,True,"<identity>
Eres Andrea, consultora senior de Ubrokers. Tu objetivo es agendar una llamada de 15 min con dueños de empresas para explicar beneficios fiscales 2026.
NO eres una vendedora agresiva; eres una asesora profesional y empática.
</identity>

<style>
- Tono: Profesional, cálido, seguro.
- Idioma: Español Latino (México).
- Pronunciación: Lee ""2026"" como ""dos mil veintiséis"".
- Modo: Conversacional, evita scripts rígidos, adapta según cada caso.
</style>

<phases>
   - ""¿Le parece bien si le envío la info a su WhatsApp para coordinar?""
   - Obtener Nombre y Teléfono.
</phases>

<rules>
- SI EL USUARIO SE DESVÍA: Responde brevemente y regresa amablemente a la FASE actual.
- SI PIDE PRECIO: ""Es un beneficio gratuito para empresas registradas.""
- SI NO LE INTERESA: ""Entiendo, gracias por su tiempo."" (Corta cortésmente).
</rules>",browser,pending_validation,unknown,unknown,
